flag,category
detailed-error-stack-trace,Trace/Debug
adjust-os-scheduling-parameters,Generic
experimental-flush-embedded-blob-icache,GC/Memory
short-builtin-calls,Compiler/Tier Manager
trace-code-range-allocation,Trace/Debug
better-code-range-allocation,Compiler/Tier Manager
abort-on-far-code-range,Compiler/Tier Manager
runtime-call-stats,Trace/Debug
rcs,Trace/Debug
rcs-cpu-time,Trace/Debug
verify-snapshot-checksum,GC/Memory
profile-deserialization,Trace/Debug
trace-deserialization,Trace/Debug
serialization-statistics,GC/Memory
regexp-optimization,Optimization
regexp-interpret-all,Compiler/Tier Manager
regexp-tier-up,Compiler/Tier Manager
regexp-tier-up-ticks,Compiler/Tier Manager
regexp-peephole-optimization,Optimization
regexp-results-cache,Optimization
regexp-assemble-from-bytecode,Compiler/Tier Manager
trace-regexp-peephole-optimization,Trace/Debug
trace-regexp-bytecodes,Trace/Debug
trace-regexp-assembler,Trace/Debug
trace-regexp-parser,Trace/Debug
trace-regexp-tier-up,Trace/Debug
trace-regexp-graph,Trace/Debug
enable-experimental-regexp-engine,Language mode/features
default-to-experimental-regexp-engine,Compiler/Tier Manager
experimental-regexp-engine-capture-group-opt,Optimization
experimental-regexp-engine-capture-group-opt-max-memory-usage,GC/Memory
trace-experimental-regexp-engine,Trace/Debug
enable-experimental-regexp-engine-on-excessive-backtracks,Compiler/Tier Manager
regexp-backtracks-before-fallback,Compiler/Tier Manager
regexp-simd,Optimization
trace-read-only-promotion,Trace/Debug
trace-read-only-promotion-verbose,Trace/Debug
testing-bool-flag,Testing/Fuzzing
testing-maybe-bool-flag,Testing/Fuzzing
testing-int-flag,Testing/Fuzzing
testing-float-flag,Testing/Fuzzing
testing-string-flag,Testing/Fuzzing
testing-prng-seed,Testing/Fuzzing
strict-termination-checks,Testing/Fuzzing
fuzzing,Testing/Fuzzing
hole-fuzzing,Testing/Fuzzing
sandbox-testing,Testing/Fuzzing
sandbox-fuzzing,Testing/Fuzzing
expose-memory-corruption-api,Testing/Fuzzing
freeze-flags-after-init,Generic
cet-compatible,Generic
embedded-src,Print
embedded-variant,Print
startup-src,Print
startup-blob,Print
target-arch,Generic
target-os,Generic
target-is-simulator,Generic
turbo-profiling-input,Print
turbo-log-builtins-count-input,Print
text-is-readable,Generic
trace-minor-ms-parallel-marking,Trace/Debug
minor-ms,GC/Memory
concurrent-minor-ms-marking,GC/Memory
black-allocated-pages,GC/Memory
sticky-mark-bits,GC/Memory
minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory
minor-ms-concurrent-marking-trigger,GC/Memory
minor-ms-min-lab-size-kb,GC/Memory
handle-weak-ref-weakly-in-minor-gc,GC/Memory
help,Generic
print-flag-values,Print
print-feature-flags-json,Print
slow-histograms,Trace/Debug
use-external-strings,Data
map-counters,Print
mock-arraybuffer-allocator,Testing/Fuzzing
mock-arraybuffer-allocator-limit,Testing/Fuzzing
multi-mapped-mock-allocator,Testing/Fuzzing
gdbjit,Trace/Debug
gdbjit-full,Trace/Debug
gdbjit-dump,Print
gdbjit-dump-filter,Print
enable-slow-asserts,Testing/Fuzzing
print-ast,Print
print-scopes,Print
trace-contexts,Trace/Debug
gc-verbose,Trace/Debug
code-stats,Trace/Debug
print-handles,Print
check-handle-count,Testing/Fuzzing
print-global-handles,Print
trace-turbo-escape,Trace/Debug
trace-module-status,Trace/Debug
trace-normalization,Trace/Debug
trace-lazy,Trace/Debug
trace-isolates,Trace/Debug
regexp-possessive-quantifier,Language mode/features
print-break-location,Print
logfile,Print
logfile-per-isolate,Print
log,Trace/Debug
log-all,Trace/Debug
log-internal-timer-events,Trace/Debug
log-timer-events,Trace/Debug
log-source-code,Trace/Debug
log-source-position,Trace/Debug
log-code,Trace/Debug
log-feedback-vector,Trace/Debug
log-code-disassemble,Trace/Debug
log-function-events,Trace/Debug
detailed-line-info,Trace/Debug
prof-include-idle,Trace/Debug
perfetto-code-logger,Trace/Debug
prof-sampling-interval,Trace/Debug
prof-cpp,Trace/Debug
prof-browser-mode,Trace/Debug
prof,Trace/Debug
ll-prof,Trace/Debug
perf-basic-prof,Trace/Debug
perf-basic-prof-path,Print
perf-basic-prof-only-functions,Trace/Debug
perf-prof,Trace/Debug
perf-prof-path,Print
perf-prof-annotate-wasm,Wasm
perf-prof-delete-file,Trace/Debug
perf-prof-unwinding-info,Trace/Debug
gc-fake-mmap,Print
redirect-code-traces,Trace/Debug
redirect-code-traces-to,Print
print-opt-source,Print
vtune-prof-annotate-wasm,Wasm
win64-unwinding-info,Trace/Debug
interpreted-frames-native-stack,Trace/Debug
enable-etw-stack-walking,Trace/Debug
etw-trace-debug,Trace/Debug
enable-etw-by-custom-filter-only,Trace/Debug
print-builtin-size,Print
trace-elements-transitions,Trace/Debug
trace-creation-allocation-sites,Trace/Debug
print-code,Print
print-opt-code,Print
print-opt-code-filter,Print
print-code-verbose,Print
print-builtin-code,Print
print-builtin-code-filter,Print
print-regexp-code,Print
print-regexp-bytecode,Print
print-all-code,Print
predictable,Generic
predictable-gc-schedule,GC/Memory
single-threaded,Generic
single-threaded-gc,GC/Memory
single-threaded-gc-in-background,GC/Memory
parallel-pause-for-gc-in-background,GC/Memory
incremental-marking-for-gc-in-background,GC/Memory
shared-heap,GC/Memory
proto-assign-seq-opt,Optimization
use-libm-trig-functions,Data
is-standalone-d8-shell,Generic
disallow-unsafe-flags,Security
verify-predictable,Testing/Fuzzing
dump-allocations-digest-at-alloc,Trace/Debug
