flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
function-context-cells-max-size,Data,Optimization,Optimization,Data,Optimization,Optimization,Optimization,Optimization,0.43
future,Generic,Language mode/features,Language mode/features,Generic,Language mode/features,Language mode/features,Language mode/features,Language mode/features,0.43
fuzzer-gc-analysis,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.43
fuzzer-random-seed,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Data,Data,Data,Testing/Fuzzing,0.14
fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
fuzzing-and-concurrent-recompilation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
gc-experiment-less-compaction,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
gc-fake-mmap,Trace/Debug,Print,GC/Memory,Trace/Debug,Data,Print,Generic,Trace/Debug,0.00
gc-global,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
gc-interval,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
gc-memory-reducer-start-delay-ms,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
gc-speed-uses-counters,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
gc-stats,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Print,GC/Memory,GC/Memory,GC/Memory,0.71
gc-verbose,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,GC/Memory,0.14
gdbjit,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
gdbjit-dump,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Print,Generic,Trace/Debug,0.14
gdbjit-dump-filter,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Print,Generic,Trace/Debug,0.14
gdbjit-full,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
handle-weak-ref-weakly-in-minor-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
hard-abort,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Generic,Generic,Generic,Generic,0.14
harmony,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-import-attributes,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-intl-best-fit-matcher,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-remove-intl-locale-info-getters,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-shadow-realm,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-shipping,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-struct,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
harmony-temporal,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
hash-seed,Data,Generic,Generic,Data,Data,Data,Data,Data,0.43
hashes-collide,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Data,Testing/Fuzzing,Testing/Fuzzing,0.71
heap-growing-percent,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
heap-profiler-show-hidden-objects,GC/Memory,Print,Trace/Debug,GC/Memory,Print,GC/Memory,Trace/Debug,GC/Memory,0.14
heap-profiler-trace-objects,GC/Memory,Print,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,0.00
heap-profiler-use-embedder-graph,GC/Memory,Generic,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,0.00
heap-snapshot-on-gc,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,Trace/Debug,GC/Memory,0.29
heap-snapshot-on-oom,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,Trace/Debug,GC/Memory,0.29
heap-snapshot-path,GC/Memory,Print,GC/Memory,GC/Memory,Data,Print,Trace/Debug,GC/Memory,0.14
heap-snapshot-string-limit,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,Trace/Debug,GC/Memory,0.29
heap-snapshot-verify,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,Trace/Debug,GC/Memory,0.14
help,Generic,Print,Generic,Generic,Generic,Generic,Generic,Generic,0.71
high-end-android,Generic,Generic,Generic,Generic,Generic,GC/Memory,GC/Memory,Generic,0.43
high-end-android-physical-memory-threshold,Generic,Generic,Generic,Generic,Generic,GC/Memory,GC/Memory,Generic,0.43
histogram-interval,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Data,Trace/Debug,Generic,Trace/Debug,0.43
hole-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
icu-british-remove-full-weekday-comma,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,Language mode/features,Language mode/features,0.57
icu-datetime-compat-lang,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,Language mode/features,Language mode/features,0.57
icu-default-italian-number-grouping-always,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,Language mode/features,Language mode/features,0.57
icu-timezone-data,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,Language mode/features,Language mode/features,0.57
idle-gc-on-context-disposal,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
ignition-elide-noneffectful-bytecodes,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
ignition-elide-redundant-tdz-checks,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
ignition-filter-expression-positions,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
ignition-reo,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
ignition-share-named-property-feedback,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
incremental-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
incremental-marking-for-gc-in-background,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
incremental-marking-hard-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
incremental-marking-soft-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
incremental-marking-task,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
incremental-marking-unified-schedule,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
ineffective-gc-includes-global,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
ineffective-gc-mutator-utilization-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
ineffective-gc-size-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
ineffective-gcs-forces-last-resort,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
initial-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
initial-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
initial-shared-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
inline-date-accessors,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
inline-new,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
inspector-live-edit,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.57
intel-jcc-erratum-mitigation,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
internalize-on-the-fly,Data,Optimization,Optimization,Data,Optimization,Optimization,Optimization,Optimization,0.43
interpreted-frames-native-stack,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
invocation-count-for-early-optimization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
invocation-count-for-feedback-allocation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
invocation-count-for-maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
invocation-count-for-maglev-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
invocation-count-for-maglev-with-delay,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,0.43
invocation-count-for-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
invocation-count-for-turbofan,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
is-standalone-d8-shell,Generic,Generic,Generic,Generic,Generic,Generic,Generic,Generic,1.00
jit-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
jitless,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
js-atomics-pause,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-base-64,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-decorators,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-defer-import-eval,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-error-iserror,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-explicit-resource-management,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-float16array,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-intl-locale-variants,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-nonextensible-applies-to-private,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-promise-try,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-regexp-duplicate-named-groups,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-regexp-escape,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-regexp-modifiers,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-shipping,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-source-phase-imports,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-staging,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
js-upsert,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
json-stringify-fast-path,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
large-page-pool,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
late-heap-limit-check,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
lazy-compile-dispatcher,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
lazy-compile-dispatcher-max-threads,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
lazy-eval,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
lazy-feedback-allocation,Optimization,Compiler/Tier Manager,Optimization,Optimization,Optimization,Compiler/Tier Manager,Optimization,Optimization,0.43
lazy-new-space-shrinking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
lazy-streaming,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
liftoff,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
liftoff-only,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
lite-mode,GC/Memory,Generic,Generic,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,0.43
ll-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
local-off-stack-check,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.29
log,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-all,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-code,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-code-disassemble,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-colour,Trace/Debug,Print,Print,Trace/Debug,Print,Print,Generic,Print,0.29
log-deopt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
log-feedback-vector,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-function-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-ic,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
log-internal-timer-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-maps,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
log-maps-details,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
log-or-trace-osr,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
log-source-code,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-source-position,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
log-timer-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
logfile,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
logfile-per-isolate,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-allocation-folding,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-as-top-tier,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-assert,Maglev,Maglev,Maglev,Maglev,Testing/Fuzzing,Maglev,Maglev,Maglev,0.71
maglev-assert-stack-size,Maglev,Maglev,Maglev,Maglev,Testing/Fuzzing,Maglev,Maglev,Maglev,0.71
maglev-break-on-entry,Maglev,Maglev,Maglev,Maglev,Debug,Maglev,Maglev,Maglev,0.71
maglev-build-code-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-cons-string-elision,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-cse,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-deopt-data-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-destroy-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-escape-analysis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-filter,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-function-context-specialization,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-future,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-hoist-osr-value-phi-untagging,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-inline-api-calls,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-inline-date-accessors,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-inlining,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-licm,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-loop-peeling,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-loop-peeling-max-size,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-loop-peeling-max-size-cumulative,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-non-eager-inlining,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-object-tracking,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-optimistic-peeled-loops,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-osr,Maglev,Maglev,Compiler/Tier Manager,Maglev,Maglev,Maglev,Maglev,Maglev,0.71
maglev-overwrite-budget,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-overwrite-osr-budget,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-poly-calls,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-pretenure-store-values,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-print-bytecode,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-print-feedback,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-print-filter,Maglev,Maglev,Print,Maglev,Maglev,Maglev,Maglev,Maglev,0.71
maglev-print-inlined,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-print-provenance,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-range-analysis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-reuse-stack-slots,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-speculative-hoist-phi-untagging,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-stats,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-stats-nvp,Maglev,Maglev,Print,Maglev,Print,Maglev,Maglev,Maglev,0.43
maglev-truncation,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
maglev-untagged-phis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
managed-zone-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
manual-evacuation-candidates-selection,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
map-counters,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
max-fast-properties,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
max-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
max-inlined-bytecode-size,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-inlined-bytecode-size-absolute,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-inlined-bytecode-size-cumulative,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-inlined-bytecode-size-small,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-inlined-bytecode-size-small-total,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-inlined-bytecode-size-small-with-heapnum-in-out,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
max-large-page-pool-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
max-lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
max-maglev-hard-inline-depth,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inline-depth,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inlined-bytecode-size,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inlined-bytecode-size-cumulative,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inlined-bytecode-size-small,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inlined-bytecode-size-small-total,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-maglev-inlined-bytecode-size-small-with-heapnum-in-out,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
max-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
max-opt,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
max-optimized-bytecode-size,Turbofan,Turbofan,Turbofan,Turbofan,Compiler/Tier Manager,Turbofan,Turbofan,Turbofan,0.71
max-semi-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
max-serializer-nesting,Data,Compiler/Tier Manager,Generic,Data,Data,GC/Memory,Generic,Data,0.14
max-shared-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
max-stack-trace-source-length,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
max-turbolev-inlined-bytecode-size-cumulative,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,1.00
max-valid-polymorphic-map-count,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
