参数名,分类
--use-original-message-for-stack-trace,Debug
--histogram-interval,Data
--heap-profiler-trace-objects,Trace/Debug
--heap-profiler-use-embedder-graph,Trace/Debug
--heap-snapshot-on-oom,Print
--heap-snapshot-path,Data
--heap-snapshot-on-gc,Print
--heap-snapshot-string-limit,Print
--heap-profiler-show-hidden-objects,Print
--profile-heap-snapshot,Print
--heap-snapshot-verify,Testing/Fuzzing
--sampling-heap-profiler-suppress-randomness,Testing/Fuzzing
--log-ic,Trace/Debug
--fast-map-update,Optimization
--max-valid-polymorphic-map-count,Optimization
--clone-object-sidestep-transitions,Optimization
--fast-properties-soft-limit,Optimization
--max-fast-properties,Optimization
--native-code-counters,Optimization
--sparkplug-plus,Sparkplug
--super-ic,Optimization
--mega-dom-ic,Optimization
--trace-prototype-users,Trace/Debug
--trace-for-in-enumerate,Trace/Debug
--log-maps,Trace/Debug
--log-maps-details,Trace/Debug
--move-prototype-transitions-first,Optimization
--allow-natives-syntax,Debug
--allow-natives-for-differential-fuzzing,Testing/Fuzzing
--parse-only,Compiler/Tier Manager
--enable-parser-ablation,Testing/Fuzzing
--enable-preparser-ablation,Testing/Fuzzing
--enable-bytecode-compiler-ablation,Testing/Fuzzing
--parser-ablation-amount,Testing/Fuzzing
--preparser-ablation-amount,Testing/Fuzzing
--bytecode-compiler-ablation-amount,Testing/Fuzzing
--async-stack-traces,Debug
--stack-trace-on-illegal,Debug
--abort-on-uncaught-exception,Generic
--correctness-fuzzer-suppressions,Testing/Fuzzing
--rehash-snapshot,Testing/Fuzzing
--hash-seed,Data
--random-seed,Data
--fuzzer-random-seed,Data
--hashes-collide,Testing/Fuzzing
--trace-rail,Trace/Debug
--print-all-exceptions,Print
--detailed-error-stack-trace,Debug
--adjust-os-scheduling-parameters,Generic
--experimental-flush-embedded-blob-icache,Testing/Fuzzing
--short-builtin-calls,Optimization
--trace-code-range-allocation,Trace/Debug
--better-code-range-allocation,Optimization
--abort-on-far-code-range,Testing/Fuzzing
--runtime-call-stats,Print
--rcs,Print
--rcs-cpu-time,Print
--verify-snapshot-checksum,Testing/Fuzzing
--profile-deserialization,Print
--trace-deserialization,Trace/Debug
--serialization-statistics,Print
--regexp-optimization,Optimization
--regexp-interpret-all,Testing/Fuzzing
--regexp-tier-up,Optimization
--regexp-tier-up-ticks,Optimization
--regexp-peephole-optimization,Optimization
--regexp-results-cache,Optimization
--regexp-assemble-from-bytecode,Optimization
--trace-regexp-peephole-optimization,Trace/Debug
--trace-regexp-bytecodes,Trace/Debug
--trace-regexp-assembler,Trace/Debug
--trace-regexp-parser,Trace/Debug
--trace-regexp-tier-up,Trace/Debug
--trace-regexp-graph,Trace/Debug
--enable-experimental-regexp-engine,Optimization
--default-to-experimental-regexp-engine,Optimization
--experimental-regexp-engine-capture-group-opt,Optimization
--experimental-regexp-engine-capture-group-opt-max-memory-usage,Optimization
--trace-experimental-regexp-engine,Trace/Debug
--enable-experimental-regexp-engine-on-excessive-backtracks,Optimization
--regexp-backtracks-before-fallback,Optimization
--regexp-simd,Optimization
--trace-read-only-promotion,Trace/Debug
--trace-read-only-promotion-verbose,Trace/Debug
--testing-bool-flag,Testing/Fuzzing
--testing-maybe-bool-flag,Testing/Fuzzing
--testing-int-flag,Testing/Fuzzing
--testing-float-flag,Testing/Fuzzing
--testing-string-flag,Testing/Fuzzing
--testing-prng-seed,Testing/Fuzzing
--strict-termination-checks,Testing/Fuzzing
--fuzzing,Testing/Fuzzing
--hole-fuzzing,Testing/Fuzzing
--sandbox-testing,Testing/Fuzzing
--sandbox-fuzzing,Testing/Fuzzing
--expose-memory-corruption-api,Testing/Fuzzing
--freeze-flags-after-init,Generic
--cet-compatible,Data
--embedded-src,Data
--embedded-variant,Data
--startup-src,Data
--startup-blob,Data
--target-arch,Data
--target-os,Data
--target-is-simulator,Testing/Fuzzing
--turbo-profiling-input,Data
--turbo-log-builtins-count-input,Data
--text-is-readable,Data
--trace-minor-ms-parallel-marking,Trace/Debug
--minor-ms,GC/Memory
--concurrent-minor-ms-marking,GC/Memory
--black-allocated-pages,GC/Memory
--sticky-mark-bits,GC/Memory
--minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory
--minor-ms-concurrent-marking-trigger,GC/Memory
--minor-ms-min-lab-size-kb,GC/Memory
--handle-weak-ref-weakly-in-minor-gc,GC/Memory
--help,Generic
--print-flag-values,Print
--print-feature-flags-json,Print
--slow-histograms,Data
--use-external-strings,Data
--map-counters,Data
--mock-arraybuffer-allocator,Testing/Fuzzing
--mock-arraybuffer-allocator-limit,Testing/Fuzzing
--multi-mapped-mock-allocator,Testing/Fuzzing
--gdbjit,Debug
--gdbjit-full,Debug
--gdbjit-dump,Debug
--gdbjit-dump-filter,Debug
--enable-slow-asserts,Testing/Fuzzing
--print-ast,Print
--print-scopes,Print
--trace-contexts,Trace/Debug
--gc-verbose,Trace/Debug
--code-stats,Print
--print-handles,Print
--check-handle-count,Testing/Fuzzing
--print-global-handles,Print
--trace-turbo-escape,Trace/Debug
--trace-module-status,Trace/Debug
--trace-normalization,Trace/Debug
--trace-lazy,Trace/Debug
--trace-isolates,Trace/Debug
--regexp-possessive-quantifier,Testing/Fuzzing
--print-break-location,Print
--logfile,Data
--logfile-per-isolate,Data
--log,Trace/Debug
--log-all,Trace/Debug
--log-internal-timer-events,Trace/Debug
--log-timer-events,Trace/Debug
--log-source-code,Trace/Debug
--log-source-position,Trace/Debug
--log-code,Trace/Debug
--log-feedback-vector,Trace/Debug
--log-code-disassemble,Trace/Debug
--log-function-events,Trace/Debug
--detailed-line-info,Debug
--prof-include-idle,Debug
--perfetto-code-logger,Debug
--prof-sampling-interval,Debug
--prof-cpp,Debug
--prof-browser-mode,Debug
--prof,Debug
--ll-prof,Debug
--perf-basic-prof,Debug
--perf-basic-prof-path,Data
--perf-basic-prof-only-functions,Debug
--perf-prof,Debug
--perf-prof-path,Data
--perf-prof-annotate-wasm,Debug
--perf-prof-delete-file,Testing/Fuzzing
--perf-prof-unwinding-info,Debug
--gc-fake-mmap,Data
--redirect-code-traces,Trace/Debug
--redirect-code-traces-to,Data
--print-opt-source,Print
--vtune-prof-annotate-wasm,Debug
--win64-unwinding-info,Data
--interpreted-frames-native-stack,Debug
--enable-etw-stack-walking,Debug
--etw-trace-debug,Debug
--enable-etw-by-custom-filter-only,Debug
--print-builtin-size,Print
--trace-elements-transitions,Trace/Debug
--trace-creation-allocation-sites,Trace/Debug
--print-code,Print
--print-opt-code,Print
--print-opt-code-filter,Print
--print-code-verbose,Print
--print-builtin-code,Print
--print-builtin-code-filter,Print
--print-regexp-code,Print
--print-regexp-bytecode,Print
--print-all-code,Print
--predictable,Testing/Fuzzing
--predictable-gc-schedule,Testing/Fuzzing
--single-threaded,Generic
--single-threaded-gc,GC/Memory
--single-threaded-gc-in-background,GC/Memory
--parallel-pause-for-gc-in-background,GC/Memory
--incremental-marking-for-gc-in-background,GC/Memory
--shared-heap,GC/Memory
--proto-assign-seq-opt,Optimization
--use-libm-trig-functions,Optimization
--is-standalone-d8-shell,Generic
--disallow-unsafe-flags,Generic
--verify-predictable,Testing/Fuzzing
--dump-allocations-digest-at-alloc,Trace/Debug
