参数名,分类
--heap-snapshot-verify,Testing/Fuzzing
--sampling-heap-profiler-suppress-randomness,Testing/Fuzzing
--log-ic,Trace/Debug
--fast-map-update,Optimization
--max-valid-polymorphic-map-count,Optimization
--clone-object-sidestep-transitions,Optimization
--fast-properties-soft-limit,Optimization
--max-fast-properties,Optimization
--native-code-counters,Generic
--sparkplug-plus,Sparkplug
--super-ic,Optimization
--mega-dom-ic,Optimization
--trace-prototype-users,Trace/Debug
--trace-for-in-enumerate,Trace/Debug
--log-maps,Trace/Debug
--log-maps-details,Trace/Debug
--move-prototype-transitions-first,Optimization
--allow-natives-syntax,Generic
--allow-natives-for-differential-fuzzing,Testing/Fuzzing
--parse-only,Compiler/Tier Manager
--enable-parser-ablation,Testing/Fuzzing
--enable-preparser-ablation,Testing/Fuzzing
--enable-bytecode-compiler-ablation,Testing/Fuzzing
--parser-ablation-amount,Testing/Fuzzing
--preparser-ablation-amount,Testing/Fuzzing
--bytecode-compiler-ablation-amount,Testing/Fuzzing
--async-stack-traces,Trace/Debug
--stack-trace-on-illegal,Trace/Debug
--abort-on-uncaught-exception,Trace/Debug
--correctness-fuzzer-suppressions,Testing/Fuzzing
--rehash-snapshot,Generic
--hash-seed,Generic
--random-seed,Generic
--fuzzer-random-seed,Testing/Fuzzing
--hashes-collide,Testing/Fuzzing
--trace-rail,Trace/Debug
--print-all-exceptions,Print
--detailed-error-stack-trace,Trace/Debug
--adjust-os-scheduling-parameters,Generic
--experimental-flush-embedded-blob-icache,Generic
--short-builtin-calls,Optimization
--trace-code-range-allocation,Trace/Debug
--better-code-range-allocation,GC/Memory
--abort-on-far-code-range,GC/Memory
--runtime-call-stats,Print
--rcs,Print
--rcs-cpu-time,Print
--verify-snapshot-checksum,Testing/Fuzzing
--profile-deserialization,Trace/Debug
--trace-deserialization,Trace/Debug
--serialization-statistics,Print
--regexp-optimization,Optimization
--regexp-interpret-all,Optimization
--regexp-tier-up,Optimization
--regexp-tier-up-ticks,Optimization
--regexp-peephole-optimization,Optimization
--regexp-results-cache,Optimization
--regexp-assemble-from-bytecode,Optimization
--trace-regexp-peephole-optimization,Trace/Debug
--trace-regexp-bytecodes,Trace/Debug
--trace-regexp-assembler,Trace/Debug
--trace-regexp-parser,Trace/Debug
--trace-regexp-tier-up,Trace/Debug
--trace-regexp-graph,Trace/Debug
--enable-experimental-regexp-engine,Language mode/features
--default-to-experimental-regexp-engine,Optimization
--experimental-regexp-engine-capture-group-opt,Optimization
--experimental-regexp-engine-capture-group-opt-max-memory-usage,Optimization
--trace-experimental-regexp-engine,Trace/Debug
--enable-experimental-regexp-engine-on-excessive-backtracks,Optimization
--regexp-backtracks-before-fallback,Optimization
--regexp-simd,Optimization
--trace-read-only-promotion,Trace/Debug
--trace-read-only-promotion-verbose,Trace/Debug
--testing-bool-flag,Testing/Fuzzing
--testing-maybe-bool-flag,Testing/Fuzzing
--testing-int-flag,Testing/Fuzzing
--testing-float-flag,Testing/Fuzzing
--testing-string-flag,Testing/Fuzzing
--testing-prng-seed,Testing/Fuzzing
--strict-termination-checks,Testing/Fuzzing
--fuzzing,Testing/Fuzzing
--hole-fuzzing,Testing/Fuzzing
--sandbox-testing,Testing/Fuzzing
--sandbox-fuzzing,Testing/Fuzzing
--expose-memory-corruption-api,Testing/Fuzzing
--freeze-flags-after-init,Generic
--cet-compatible,
--embedded-src,
--embedded-variant,
--startup-src,
--startup-blob,
--target-arch,
--target-os,
--target-is-simulator,
--turbo-profiling-input,
--turbo-log-builtins-count-input,
--text-is-readable,
--trace-minor-ms-parallel-marking,Trace/Debug
--minor-ms,GC/Memory
--concurrent-minor-ms-marking,GC/Memory
--black-allocated-pages,GC/Memory
--sticky-mark-bits,GC/Memory
--minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory
--minor-ms-concurrent-marking-trigger,GC/Memory
--minor-ms-min-lab-size-kb,GC/Memory
--handle-weak-ref-weakly-in-minor-gc,GC/Memory
--help,Generic
--print-flag-values,Print
--print-feature-flags-json,Print
--slow-histograms,Trace/Debug
--use-external-strings,Data
--map-counters,Trace/Debug
--mock-arraybuffer-allocator,Testing/Fuzzing
--mock-arraybuffer-allocator-limit,Testing/Fuzzing
--multi-mapped-mock-allocator,Testing/Fuzzing
--gdbjit,Trace/Debug
--gdbjit-full,Trace/Debug
--gdbjit-dump,Trace/Debug
--gdbjit-dump-filter,Trace/Debug
--enable-slow-asserts,Testing/Fuzzing
--print-ast,Print
--print-scopes,Print
--trace-contexts,Trace/Debug
--gc-verbose,GC/Memory
--code-stats,Print
--print-handles,Print
--check-handle-count,Testing/Fuzzing
--print-global-handles,Print
--trace-turbo-escape,Trace/Debug
--trace-module-status,Trace/Debug
--trace-normalization,Trace/Debug
--trace-lazy,Trace/Debug
--trace-isolates,Trace/Debug
--regexp-possessive-quantifier,Language mode/features
--print-break-location,Trace/Debug
--logfile,Trace/Debug
--logfile-per-isolate,Trace/Debug
--log,Trace/Debug
--log-all,Trace/Debug
--log-internal-timer-events,Trace/Debug
--log-timer-events,Trace/Debug
--log-source-code,Trace/Debug
--log-source-position,Trace/Debug
--log-code,Trace/Debug
--log-feedback-vector,Trace/Debug
--log-code-disassemble,Trace/Debug
--log-function-events,Trace/Debug
--detailed-line-info,Trace/Debug
--prof-include-idle,Trace/Debug
--perfetto-code-logger,Trace/Debug
--prof-sampling-interval,Trace/Debug
--prof-cpp,Trace/Debug
--prof-browser-mode,Trace/Debug
--prof,Trace/Debug
--ll-prof,Trace/Debug
--perf-basic-prof,Trace/Debug
--perf-basic-prof-path,Trace/Debug
--perf-basic-prof-only-functions,Trace/Debug
--perf-prof,Trace/Debug
--perf-prof-path,Trace/Debug
--perf-prof-annotate-wasm,Wasm
--perf-prof-delete-file,Trace/Debug
--perf-prof-unwinding-info,Trace/Debug
--gc-fake-mmap,GC/Memory
--redirect-code-traces,Trace/Debug
--redirect-code-traces-to,Trace/Debug
--print-opt-source,Print
--vtune-prof-annotate-wasm,Wasm
--win64-unwinding-info,Trace/Debug
--interpreted-frames-native-stack,Trace/Debug
--enable-etw-stack-walking,Trace/Debug
--etw-trace-debug,Trace/Debug
--enable-etw-by-custom-filter-only,Trace/Debug
--print-builtin-size,Print
--trace-elements-transitions,Trace/Debug
--trace-creation-allocation-sites,Trace/Debug
--print-code,Print
--print-opt-code,Print
--print-opt-code-filter,Print
--print-code-verbose,Print
--print-builtin-code,Print
--print-builtin-code-filter,Print
--print-regexp-code,Print
--print-regexp-bytecode,Print
--print-all-code,Print
--predictable,Generic
--predictable-gc-schedule,GC/Memory
--single-threaded,Generic
--single-threaded-gc,GC/Memory
--single-threaded-gc-in-background,GC/Memory
--parallel-pause-for-gc-in-background,GC/Memory
--incremental-marking-for-gc-in-background,GC/Memory
--shared-heap,GC/Memory
--proto-assign-seq-opt,Optimization
--use-libm-trig-functions,Optimization
--is-standalone-d8-shell,Generic
--disallow-unsafe-flags,Generic
--verify-predictable,Testing/Fuzzing
--dump-allocations-digest-at-alloc,Trace/Debug
