flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--invocation-count-for-maglev-with-delay,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Maglev,,Compiler/Tier Manager,no,"Maglev, Compiler/Tier Manager, Compiler/Tier Manager, Maglev, Compiler/Tier Manager, Maglev, , Compiler/Tier Manager"
--invocation-count-for-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--invocation-count-for-turbofan,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--is-standalone-d8-shell,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--jit-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--jitless,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--js-atomics-pause,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-base-64,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-decorators,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-defer-import-eval,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-error-iserror,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-explicit-resource-management,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-float16array,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-intl-locale-variants,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-nonextensible-applies-to-private,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-promise-try,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-regexp-duplicate-named-groups,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-regexp-escape,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-regexp-modifiers,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-shipping,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-source-phase-imports,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-staging,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--js-upsert,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--json-stringify-fast-path,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--large-page-pool,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--late-heap-limit-check,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--lazy-compile-dispatcher,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--lazy-compile-dispatcher-max-threads,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--lazy-eval,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--lazy-feedback-allocation,Optimization,Compiler/Tier Manager,Optimization,Optimization,Optimization,Optimization,,Optimization,no,"Optimization, Compiler/Tier Manager, Optimization, Optimization, Optimization, Optimization, , Optimization"
--lazy-new-space-shrinking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--lazy-streaming,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--liftoff,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--liftoff-only,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--lite-mode,GC/Memory,Generic,Generic,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,no,"GC/Memory, Generic, Generic, GC/Memory, GC/Memory, GC/Memory, , GC/Memory"
--ll-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--local-off-stack-check,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, Trace/Debug, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--log,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-all,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-code,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-code-disassemble,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-colour,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Generic,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Generic"
--log-deopt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--log-feedback-vector,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-function-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-ic,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--log-internal-timer-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-maps,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--log-maps-details,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--log-or-trace-osr,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--log-source-code,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-source-position,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--log-timer-events,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--logfile,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--logfile-per-isolate,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-allocation-folding,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-as-top-tier,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-assert,Maglev,Maglev,Maglev,Maglev,Testing/Fuzzing,Maglev,,Maglev,no,"Maglev, Maglev, Maglev, Maglev, Testing/Fuzzing, Maglev, , Maglev"
--maglev-assert-stack-size,Maglev,Maglev,Maglev,Maglev,Testing/Fuzzing,Maglev,,Maglev,no,"Maglev, Maglev, Maglev, Maglev, Testing/Fuzzing, Maglev, , Maglev"
--maglev-break-on-entry,Maglev,Maglev,Maglev,Maglev,Debug,Maglev,,Maglev,no,"Maglev, Maglev, Maglev, Maglev, Debug, Maglev, , Maglev"
--maglev-build-code-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-cons-string-elision,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-cse,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-deopt-data-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-destroy-on-background,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-escape-analysis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-filter,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-function-context-specialization,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-future,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-hoist-osr-value-phi-untagging,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-inline-api-calls,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-inline-date-accessors,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-inlining,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-licm,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-loop-peeling,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-loop-peeling-max-size,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-loop-peeling-max-size-cumulative,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-non-eager-inlining,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-object-tracking,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-optimistic-peeled-loops,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-osr,Maglev,Maglev,Compiler/Tier Manager,Maglev,Maglev,Maglev,,Maglev,no,"Maglev, Maglev, Compiler/Tier Manager, Maglev, Maglev, Maglev, , Maglev"
--maglev-overwrite-budget,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-overwrite-osr-budget,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-poly-calls,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-pretenure-store-values,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-print-bytecode,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-print-feedback,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-print-filter,Maglev,Maglev,Print,Maglev,Maglev,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Maglev, Maglev, , Maglev"
--maglev-print-inlined,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-print-provenance,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-range-analysis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-reuse-stack-slots,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-speculative-hoist-phi-untagging,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-stats,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-stats-nvp,Maglev,Maglev,Print,Maglev,Print,Maglev,,Maglev,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Maglev"
--maglev-truncation,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--maglev-untagged-phis,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--managed-zone-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--manual-evacuation-candidates-selection,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--map-counters,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--max-fast-properties,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--max-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--max-inlined-bytecode-size,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-inlined-bytecode-size-absolute,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-inlined-bytecode-size-cumulative,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-inlined-bytecode-size-small,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-inlined-bytecode-size-small-total,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-inlined-bytecode-size-small-with-heapnum-in-out,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--max-large-page-pool-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--max-lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--max-maglev-hard-inline-depth,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inline-depth,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inlined-bytecode-size,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inlined-bytecode-size-cumulative,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inlined-bytecode-size-small,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inlined-bytecode-size-small-total,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-maglev-inlined-bytecode-size-small-with-heapnum-in-out,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--max-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--max-opt,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--max-optimized-bytecode-size,Turbofan,Turbofan,Turbofan,Turbofan,Compiler/Tier Manager,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Compiler/Tier Manager, Turbofan, , Turbofan"
--max-semi-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--max-serializer-nesting,Data,Compiler/Tier Manager,Generic,Data,Data,Data,,Generic,no,"Data, Compiler/Tier Manager, Generic, Data, Data, Data, , Generic"
--max-shared-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--max-stack-trace-source-length,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--max-turbolev-inlined-bytecode-size-cumulative,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--max-valid-polymorphic-map-count,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--max-wasm-functions,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--mcpu,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--mega-dom-ic,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--memory-balancer,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-balancer-c-value,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-pool,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-pool-release-before-memory-pressure-gcs,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-pool-release-on-malloc-failures,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-pool-share-memory-on-teardown,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-protection-keys,GC/Memory,Compiler/Tier Manager,GC/Memory,GC/Memory,Data,GC/Memory,,GC/Memory,no,"GC/Memory, Compiler/Tier Manager, GC/Memory, GC/Memory, Data, GC/Memory, , GC/Memory"
--memory-reducer,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-reducer-favors-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-reducer-for-small-heaps,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-reducer-gc-count,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-reducer-respects-frozen-state,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--memory-saver-mode,Generic,Generic,GC/Memory,Generic,Compiler/Tier Manager,Generic,,Compiler/Tier Manager,no,"Generic, Generic, GC/Memory, Generic, Compiler/Tier Manager, Generic, , Compiler/Tier Manager"
--merge-background-deserialized-script-with-compilation-cache,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--min-inlining-frequency,Optimization,Turbofan,Turbofan,Optimization,Optimization,Optimization,,Turbofan,no,"Optimization, Turbofan, Turbofan, Optimization, Optimization, Optimization, , Turbofan"
--min-maglev-inlining-frequency,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,,Maglev,yes,Maglev
--min-semi-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minimum-invocations-after-ic-update,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--minimum-invocations-before-optimization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--minor-gc-task,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-gc-task-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-gc-task-with-lower-priority,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-concurrent-marking-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-max-page-age,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-min-lab-size-kb,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-page-promotion-max-lab-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-page-promotion-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-shortcut-strings,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--minor-ms-trace-fragmentation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--mock-arraybuffer-allocator,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--mock-arraybuffer-allocator-limit,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--move-object-start,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--move-prototype-transitions-first,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--multi-mapped-mock-allocator,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--native-code-counters,Trace/Debug,Print,Generic,Trace/Debug,Optimization,Trace/Debug,,Optimization,no,"Trace/Debug, Print, Generic, Trace/Debug, Optimization, Trace/Debug, , Optimization"
